screen_name,Source,tweets,time_stamp
1498645645527515139,Africa,"Cardamom, Whole Cardamom, Grounded Cardamom, Indian spice, Healthy spice, Organic spice, Herbal spice, https://t.co/BdlPbxjFBb via @Etsy  #travel #market #souq #africa #travelgram #colourscinnamon #cinnamon #ceyloncinnamon #truecinnamon #cinnamonsticks",2022-11-04 03:57:04+00:00
1498645645527515139,Africa,Black Jakhiya Seeds | Cleome Viscose | Mountain Mustard | Wild Mustard | Indian Mustard Seeds | Natural Seed | Cooking Spice | Herbal Seeds https://t.co/x8KLNnAglx via @Etsy  #travel #market #souq #africa #travelgram #colourscinnamon #cinnamon #ceyloncinnamon #truecinnamon #cinna,2022-11-04 03:56:51+00:00
1498645645527515139,Africa,"Asafoetida, whole Asafoetida, grounded Asafoetida,, Indian spice, healthy spice, organice spice, herbal spice, https://t.co/0DE4npOZk1 via @Etsy  #travel #market #souq #africa #travelgram #colourscinnamon #cinnamon #ceyloncinnamon #truecinnamon #cinnamonsticks",2022-11-04 03:56:20+00:00
1498645645527515139,Africa,"Organic Flax Seed, Alsi Seeds, Ground Flax Seed, Brown Flax seeds, Linseed Powder, Herbal Seeds, High Fiber Food, Organic Seeds. https://t.co/k1TcOnB82s via @Etsy  #travel #market #souq #africa #travelgram #colourscinnamon #cinnamon #ceyloncinnamon #truecinnamon #cinnamonsticks",2022-11-04 03:55:01+00:00
1498645645527515139,Africa,"Black pepper, Whole Black pepper, GroundedBlack pepper, Indian spice, Healthy spice, Organic spice, Herbal spice, https://t.co/SsXwqo04hF via @Etsy  #travel #market #souq #africa #travelgram #colourscinnamon #cinnamon #ceyloncinnamon #truecinnamon #cinnamonsticks",2022-11-04 03:54:50+00:00
1498645645527515139,Africa,Coconut Milk Powder | Coconut Powder | Organic Super Food | Homemade Masala | Indian Spice | Whole Foods and Ground Spices | Healthy Cooking https://t.co/o0WcSn84hZ via @Etsy  #travel #market #souq #africa #travelgram #colourscinnamon #cinnamon #ceyloncinnamon #truecinnamon #cinn,2022-11-04 03:53:59+00:00
73800371,Africa,"India: Vatican Appointee Faces Boycott in Archdiocese 
Priests and lay leaders in the archdiocese have been opposing the imposition of a liturgical pattern approved by the bis...
https://t.co/0gDwn4Y3v2
#Asia #Newsdeskinbox #World 
#africa #ArchbishopAndr... https://t.co/6hkKudM2Po",2022-11-04 03:53:53+00:00
1498645645527515139,Africa,"clove, whole clove, grounded clove, Indian spice, healthy spice, organice spice, herbal spice, https://t.co/RbUD8FgpaE via @Etsy  #travel #market #souq #africa #travelgram #colourscinnamon #cinnamon #ceyloncinnamon #truecinnamon #cinnamonsticks",2022-11-04 03:53:41+00:00
1498645645527515139,Africa,Poppy Seeds | Opium Poppy | Khus Khus | Papaver Somniferum | oilseeds | Herbal Seeds | High Fiber Food | Organic Seeds | Healthy seeds https://t.co/nFszxQvKhQ via @Etsy  #travel #market #souq #africa #travelgram #colourscinnamon #cinnamon #ceyloncinnamon #truecinnamon #cinnamonst,2022-11-04 03:53:12+00:00
1498645645527515139,Africa,Organic Mango Powder | Amchur Powder | Dry Mango Powder | Indian Spices | Green Mango Powder | Herbal Spice | Healthy Spice | Fruit Powder https://t.co/aRgVl0AwX5 via @Etsy  #travel #market #souq #africa #travelgram #colourscinnamon #cinnamon #ceyloncinnamon #truecinnamon #cinnam,2022-11-04 03:52:25+00:00
